SubjID,GameID,B.1,B.2,B.3,B.4,B.5
60004,151,0.6,0.4,0,0.6,0.2
60004,153,0.4,0.6,0.6,0.4,0.6
60004,156,0.8,1,1,1,1
60004,162,0.8,0.4,0.8,0.4,0.4
60004,163,0.8,0.2,0,0.4,0
60006,160,0,0.2,0.6,1,1
60006,162,1,1,1,1,1
60006,171,1,1,1,1,1
60006,172,0,0.8,0.2,1,0.2
60006,176,1,1,1,1,1
60034,154,0.2,0,0,0,0
60034,165,1,1,0.8,1,1
60034,169,1,1,1,1,1
60034,171,0,0,0.4,0,0
60034,178,1,1,0.6,0.8,1
60044,154,1,1,0.2,0.2,1
60044,157,1,1,1,1,1
60044,170,0,0,0,0,0
60044,171,1,1,1,1,0.8
60044,173,0.2,0,0,0,0
60046,153,0,0.2,0.2,0.6,0.6
60046,155,0,0,0,0,0
60046,160,0.8,0.8,0.6,0.6,1
60046,173,1,0.8,0.6,0.6,0.2
60046,176,0.6,0.6,0.8,0.8,0.8
60047,159,0.8,1,1,1,1
60047,165,0.2,0.8,0.8,0.8,1
60047,168,0.6,0,0.2,0.2,0
60047,178,0.4,0.8,0.6,0.6,1
60047,180,0.2,0.2,0,0.2,0.6
60055,151,1,1,0.8,0.6,1
60055,169,1,1,0.8,1,1
60055,173,1,1,1,1,0.8
60055,175,0.6,0.8,0.4,1,1
60055,176,1,1,1,1,1
60058,158,0,0.2,0,0.6,0.8
60058,159,0.8,0.8,1,1,1
60058,166,1,0.8,1,1,1
60058,167,0,0,0,0,0
60058,172,0,0,0,0,0
61006,156,1,1,1,1,1
61006,168,0,0.2,1,1,1
61006,169,0.8,1,1,1,1
61006,173,0,0,0,0,0
61006,175,0,0.2,1,1,1
61009,153,0,0,0,0,0
61009,160,0.4,0,0,0,0
61009,164,0,0,0,0,0
61009,169,1,1,1,1,1
61009,179,0.8,1,1,0.8,0.8
61026,153,1,0.8,0.4,0.4,0.4
61026,154,0,0,0.2,0,0
61026,159,1,1,1,1,1
61026,175,0,0.4,1,1,0.8
61026,177,0,0.6,0.4,0.6,0.4
61036,157,1,1,1,1,1
61036,167,0,0,0,0,0
61036,170,0,0,0,0,0
61036,172,0,0,0,0,0
61036,174,1,1,1,0.6,0.6
61075,163,0.4,0.6,0.4,0.6,0.4
61075,166,1,1,1,1,1
61075,169,1,1,1,1,1
61075,172,0.6,0.8,0.8,0.2,0.2
61075,175,0.6,0.4,0.6,0.4,0.6
61116,158,0.4,0.8,1,0.4,0.8
61116,160,0.4,0.4,0.6,1,0.8
61116,161,0,0,0.2,0.2,0.6
61116,177,0.8,1,0.4,0.2,0.4
61116,180,0.6,0.4,0.4,0.4,0.2
61117,153,0.2,0.8,0.4,0.8,0.4
61117,159,1,1,1,1,1
61117,166,1,1,1,1,1
61117,170,0,0,0,0,0
61117,176,1,1,1,1,1
70066,188,1,1,1,1,1
70066,194,0,0,0,0,0
70066,202,1,1,1,1,1
70066,207,1,0.8,0,0,0
70066,210,1,0.8,1,0.8,0.6
70081,185,1,1,1,0.8,0.8
70081,189,0,0.6,0.4,0,0.2
70081,195,0.4,0,0,0.2,0
70081,203,0.2,0,0.6,0.4,0
70081,205,0,0,0.8,0.2,0.4
70095,181,0.8,0.8,0.6,0.8,0.6
70095,182,0.6,0,0,0,0
70095,192,0.6,0,0,0,0
70095,194,0.2,0.4,0.6,0,0.2
70095,205,0.4,0.2,0.6,0.2,0.2
70097,184,0,0.4,0,0,0.2
70097,187,0,0.4,0.4,0,0
70097,188,1,1,0.8,1,1
70097,194,0,0,0.2,1,0.8
70097,210,1,0.8,0.6,0.4,1
70106,184,0,0.4,0.4,0.8,0.4
70106,192,0,0,0.4,0.4,0.4
70106,193,1,1,1,0.6,0.4
70106,194,0,0.2,0,0,0
70106,195,1,1,1,1,1
70109,187,0,0,0,0.6,0.2
70109,190,0,0,0.4,0.4,0
70109,200,1,1,0.6,0.8,1
70109,201,0,0.2,0.2,0.4,0
70109,205,0.4,0.4,0.8,0.6,0.6
70113,181,0.4,0,0,0,0.2
70113,194,1,1,1,0.4,0
70113,195,1,1,1,1,1
70113,198,0,0.2,0,0,0
70113,204,0,0,0,0,0
71045,186,0,0.6,1,0.8,0
71045,193,0,0,0,0,0.8
71045,194,1,1,0,0,0
71045,197,1,1,1,1,1
71045,202,1,1,1,1,1
71049,182,0,0,0,0,0
71049,189,0,0.4,0.6,0,0
71049,190,0,0,0,0,0
71049,193,0,0,0,0,0
71049,195,1,1,1,1,1
71051,188,1,1,1,1,1
71051,196,0.2,0.4,0,0.6,0.8
71051,202,1,1,1,1,1
71051,203,0,0,0,0,0
71051,209,1,0.4,0.6,0.8,0.6
71052,184,0,0.2,0.2,0.2,0.4
71052,195,1,0.6,0.4,1,0.4
71052,197,0,0,0.6,0.4,0.8
71052,199,0.4,0.4,0.4,0,0.4
71052,204,0.8,0.6,0.4,0.8,0.2
71070,182,0,0,0,0,0
71070,185,0.2,0.6,0.4,1,1
71070,190,0,0,0,0,0
71070,194,0,0,0,0,0
71070,197,0.2,0.2,0,0,0
71092,185,0.8,0.8,0.8,1,1
71092,186,0,0,0,0,0
71092,190,0,0,0,0,0
71092,206,0.2,0.8,1,1,1
71092,207,0.4,0.4,0.8,0.6,1
71097,188,1,1,1,1,1
71097,189,0,0,0.2,0.4,0
71097,191,0,0,0,0,0
71097,192,0,0,0,0,0
71097,197,0.4,0.6,1,0.8,0.8
71108,183,1,1,1,1,1
71108,187,0,0,0,0,0
71108,191,0,0,0,0,0
71108,196,0,0,0,0,0
71108,203,0,0,0,0,0
